position,scene,AE,MSE,PSNR,SSIM,LPIPS,FID,PSNR_2,SSIM_2
Position0,NIR,3.0102365017,0.0318029039,14.9753322601,0.5417369008,0.2973176837,2.5180634111166E-06,16.2725105286,0.6200397015
Position0,NIR,3.1189649105,0.0340782106,14.6752319336,0.4753449857,0.3166271448,0.000065669,15.9569549561,0.5461845398
Position0,NIR,3.1857612133,0.036328163,14.397564888,0.4495048821,0.3225625455,1.31223350763321E-06,15.6871881485,0.5205791593
Position0,NIR,3.1199228764,0.0337772407,14.7137584686,0.4946811199,0.3140192628,7.77654349803925E-08,16.0088500977,0.5669721365
Position0,NIR,3.0055274963,0.0304738022,15.160733223,0.5772265196,0.2948932052,3.85772436857223E-05,16.4648036957,0.6507119536
Position0,NIR,2.9689772129,0.0290596317,15.367099762,0.6450746059,0.2906342447,4.46096528321505E-05,16.6924552917,0.7245144844
Position0,NIR,2.9449543953,0.0298121572,15.2560663223,0.6456205249,0.2885024548,3.2985582947731E-05,16.5743637085,0.7241409421
Position0,NIR,2.922878027,0.0289270841,15.3869543076,0.6381472945,0.2868420482,6.27711415290833E-06,16.7030315399,0.7174098492
Position0,NIR,2.9446566105,0.0299657695,15.233745575,0.6217909455,0.2924862802,2.80863605439663E-06,16.5489883423,0.6993317008
Position0,NIR,2.9748928547,0.0306188185,15.1401157379,0.6238253117,0.2937591076,0.0002150647,16.4514389038,0.701777339
Position0,NIR,2.8993234634,0.0299423598,15.2371397018,0.6457871795,0.2859852016,0.000000349,16.5523948669,0.7255653739
Position0,NIR,2.9931199551,0.0324248299,14.8912239075,0.5955436826,0.2981452346,0.000000563,16.2005252838,0.6785619259
Position0,NIR,2.9259562492,0.0308709703,15.1044960022,0.6296656728,0.2906667292,9.15257260203362E-07,16.4201660156,0.7108511329
Position0,NIR,2.9540412426,0.0306872558,15.1304197311,0.5821201205,0.2917856276,0.0001161168,16.4336929321,0.6622413993
Position0,NIR,2.9171416759,0.0305545852,15.1492357254,0.6517406702,0.289037168,3.5533681511879E-05,16.4646453857,0.7327232361
Position0,NIR,2.9298417568,0.0303856228,15.1733188629,0.6359780431,0.2921701074,1.73132866621017E-06,16.487405777,0.7123340964
Position0,NIR,2.906765461,0.0298587885,15.2492790222,0.6545336843,0.2832179666,5.14443963766098E-05,16.5557174683,0.734193027
Position0,NIR,2.9186246395,0.0306104179,15.1413078308,0.6499818563,0.2979136407,4.53554093837738E-07,16.4480857849,0.7325411439
Position0,NIR,3.0615787506,0.0359088033,14.4479904175,0.5543982387,0.3228482604,2.77801882475615E-05,15.7375984192,0.6376228333
Position0,NIR,2.9414584637,0.0344805531,14.6242580414,0.6457681656,0.3226650953,3.19322571158409E-05,15.9423599243,0.7358012795
Position0,NIR,2.9131882191,0.0404804796,13.9275445938,0.6478151083,0.3290513456,8.22567380964756E-06,15.2359657288,0.7491901517
Position0,NIR,2.8416206837,0.0444576517,13.5205354691,0.6325131059,0.3387458324,1.20187178254128E-06,14.8532314301,0.7425976992
Position0,NIR,2.8474500179,0.0451194271,13.4563646317,0.6384565234,0.3320964277,2.09154095500708E-05,14.8016605377,0.7526869178
Position0,NIR,2.7492294312,0.0451680049,13.4516916275,0.6396864653,0.3298225105,3.12388874590397E-06,14.8040342331,0.7515684366
Position0,NIR,2.7763185501,0.0471972302,13.2608356476,0.6304958463,0.3355939388,0.0001033011,14.6157608032,0.747674644
Position0,NIR,2.8417096138,0.0399144217,13.988702774,0.6447073221,0.3210420012,0.0002066733,15.355963707,0.7582548857
Position0,NIR,2.8417408466,0.0383850262,14.1583814621,0.6544273496,0.3140760362,9.93146095424891E-05,15.5271348953,0.7624418139
Position0,NIR,2.8522875309,0.0379212536,14.2111730576,0.6544539332,0.3212439716,4.55370172858238E-06,15.5687999725,0.7635499835
Position0,NIR,2.8531851768,0.0408274643,13.8904762268,0.6489685178,0.322950691,2.27359123528004E-06,15.2366600037,0.7626401782
Position0,NIR,2.7801895142,0.0382527336,14.1733751297,0.6533241868,0.3244583607,6.26011751592159E-05,15.5242919922,0.7655367851
Position0,NIR,2.851195097,0.0392825492,14.0580034256,0.6460155845,0.3368496299,5.81284984946251E-06,15.4046821594,0.7654855251
Position0,NIR,2.9313485622,0.035507828,14.4967594147,0.6642616391,0.328227818,2.83145345747471E-06,15.8439922333,0.7879014611
Position0,NIR,2.9600067139,0.0297746137,15.2615394592,0.6727780104,0.3131945431,1.19954347610474E-06,16.6253967285,0.7976288795
Position0,NIR,2.9880769253,0.0286870748,15.4231376648,0.6716027856,0.3234474659,1.4294171705842E-05,16.7958812714,0.7944049239
Position0,NIR,2.9590957165,0.0287744235,15.4099330902,0.6743694544,0.3198960423,7.59074464440346E-06,16.7798576355,0.7976516485
Position0,NIR,2.9829609394,0.0286502205,15.4287204742,0.6712863445,0.31949687,1.07546802610159E-05,16.8042449951,0.7949305177
Position0,NIR,2.9726150036,0.0286295097,15.4318618774,0.6724156737,0.3207879961,1.24168582260609E-06,16.8059120178,0.7967963219
Position0,NIR,2.9831831455,0.0288575031,15.3974132538,0.6664132476,0.3202878237,2.96439975500107E-06,16.7695960999,0.7915133238
